ball,over,runs,innings,batsman,nonstriker_batsman,bowler,bowling_team,batting_team,run_out,match_id,final_total_runs,wickets,last_5_over_wickets,last_5_over_runs,batteam,bowlteam,runs_tillnow,city,winner
6,3.6,1,1,Faf du Plessis,Shane Watson,Lasith Malinga,Mumbai Indians,Chennai Super Kings,No,1181764,131,0,2,12,1,2,1,Chennai,Mumbai Indians
5,3.5,0,1,Faf du Plessis,Shane Watson,Lasith Malinga,Mumbai Indians,Chennai Super Kings,No,1181764,131,0,2,12,1,2,1,Chennai,Mumbai Indians
4,3.4,0,1,Faf du Plessis,Shane Watson,Lasith Malinga,Mumbai Indians,Chennai Super Kings,No,1181764,131,0,2,12,1,2,1,Chennai,Mumbai Indians
3,3.3,0,1,Faf du Plessis,Shane Watson,Lasith Malinga,Mumbai Indians,Chennai Super Kings,No,1181764,131,1,1,12,1,2,1,Chennai,Mumbai Indians
2,3.2,0,1,Faf du Plessis,Shane Watson,Lasith Malinga,Mumbai Indians,Chennai Super Kings,No,1181764,131,0,1,12,1,2,1,Chennai,Mumbai Indians
1,3.1,4,1,Faf du Plessis,Shane Watson,Lasith Malinga,Mumbai Indians,Chennai Super Kings,No,1181764,131,0,1,7,1,2,5,Chennai,Mumbai Indians
1,3.1,1,1,Faf du Plessis,Shane Watson,Lasith Malinga,Mumbai Indians,Chennai Super Kings,No,1181764,131,0,1,7,1,2,6,Chennai,Mumbai Indians
6,2.6,0,1,Faf du Plessis,Shane Watson,Lasith Malinga,Mumbai Indians,Chennai Super Kings,No,1181764,131,0,1,7,1,2,6,Chennai,Mumbai Indians
5,2.5,0,1,Faf du Plessis,Shane Watson,Lasith Malinga,Mumbai Indians,Chennai Super Kings,No,1181764,131,0,1,7,1,2,6,Chennai,Mumbai Indians
4,2.4,1,1,Faf du Plessis,Shane Watson,Lasith Malinga,Mumbai Indians,Chennai Super Kings,No,1181764,131,0,1,6,1,2,7,Chennai,Mumbai Indians
3,2.3,0,1,Faf du Plessis,Shane Watson,Lasith Malinga,Mumbai Indians,Chennai Super Kings,No,1181764,131,0,1,6,1,2,7,Chennai,Mumbai Indians
2,2.2,0,1,Faf du Plessis,Shane Watson,Lasith Malinga,Mumbai Indians,Chennai Super Kings,No,1181764,131,0,1,6,1,2,7,Chennai,Mumbai Indians
1,2.1,0,1,Faf du Plessis,Shane Watson,Lasith Malinga,Mumbai Indians,Chennai Super Kings,No,1181764,131,1,0,6,1,2,7,Chennai,Mumbai Indians
6,1.6,0,1,Faf du Plessis,Shane Watson,Lasith Malinga,Mumbai Indians,Chennai Super Kings,No,1181764,131,0,0,6,1,2,7,Chennai,Mumbai Indians
5,1.5,0,1,Faf du Plessis,Shane Watson,Lasith Malinga,Mumbai Indians,Chennai Super Kings,No,1181764,131,0,0,6,1,2,7,Chennai,Mumbai Indians
4,1.4,1,1,Faf du Plessis,Shane Watson,Lasith Malinga,Mumbai Indians,Chennai Super Kings,No,1181764,131,0,0,5,1,2,8,Chennai,Mumbai Indians
3,1.3,0,1,Faf du Plessis,Shane Watson,Lasith Malinga,Mumbai Indians,Chennai Super Kings,No,1181764,131,0,0,5,1,2,8,Chennai,Mumbai Indians
2,1.2,4,1,Faf du Plessis,Shane Watson,Lasith Malinga,Mumbai Indians,Chennai Super Kings,No,1181764,131,0,0,1,1,2,12,Chennai,Mumbai Indians
1,1.1,0,1,Faf du Plessis,Shane Watson,Lasith Malinga,Mumbai Indians,Chennai Super Kings,No,1181764,131,0,0,1,1,2,12,Chennai,Mumbai Indians
6,0.6,1,1,Faf du Plessis,Shane Watson,Lasith Malinga,Mumbai Indians,Chennai Super Kings,No,1181764,131,0,0,0,1,2,13,Chennai,Mumbai Indians
5,0.5,0,1,Faf du Plessis,Shane Watson,Lasith Malinga,Mumbai Indians,Chennai Super Kings,No,1181764,131,0,0,0,1,2,13,Chennai,Mumbai Indians
4,0.4,0,1,Faf du Plessis,Shane Watson,Lasith Malinga,Mumbai Indians,Chennai Super Kings,No,1181764,131,0,0,0,1,2,13,Chennai,Mumbai Indians
3,0.3,0,1,Faf du Plessis,Shane Watson,Lasith Malinga,Mumbai Indians,Chennai Super Kings,No,1181764,131,0,0,0,1,2,13,Chennai,Mumbai Indians
2,0.2,0,1,Faf du Plessis,Shane Watson,Lasith Malinga,Mumbai Indians,Chennai Super Kings,No,1181764,131,0,0,0,1,2,13,Chennai,Mumbai Indians
1,0.1,0,1,Faf du Plessis,Shane Watson,Lasith Malinga,Mumbai Indians,Chennai Super Kings,No,1181764,131,0,0,0,1,2,13,Chennai,Mumbai Indians
1,8.1,0,1,Shane Watson,Murali Vijay,Jasprit Bumrah,Mumbai Indians,Chennai Super Kings,No,1181764,131,0,2,37,1,2,13,Chennai,Mumbai Indians
6,7.6,2,1,Shane Watson,Murali Vijay,Jasprit Bumrah,Mumbai Indians,Chennai Super Kings,No,1181764,131,0,3,36,1,2,15,Chennai,Mumbai Indians
5,7.5,0,1,Shane Watson,Murali Vijay,Jasprit Bumrah,Mumbai Indians,Chennai Super Kings,No,1181764,131,0,3,36,1,2,15,Chennai,Mumbai Indians
4,7.4,1,1,Shane Watson,Murali Vijay,Jasprit Bumrah,Mumbai Indians,Chennai Super Kings,No,1181764,131,0,3,35,1,2,16,Chennai,Mumbai Indians
3,7.3,0,1,Shane Watson,Murali Vijay,Jasprit Bumrah,Mumbai Indians,Chennai Super Kings,No,1181764,131,0,3,35,1,2,16,Chennai,Mumbai Indians
2,7.2,1,1,Shane Watson,Murali Vijay,Jasprit Bumrah,Mumbai Indians,Chennai Super Kings,No,1181764,131,0,3,34,1,2,17,Chennai,Mumbai Indians
1,7.1,1,1,Shane Watson,Murali Vijay,Jasprit Bumrah,Mumbai Indians,Chennai Super Kings,No,1181764,131,0,3,33,1,2,18,Chennai,Mumbai Indians
6,6.6,4,1,Shane Watson,Murali Vijay,Jasprit Bumrah,Mumbai Indians,Chennai Super Kings,No,1181764,131,0,3,34,1,2,22,Chennai,Mumbai Indians
5,6.5,0,1,Shane Watson,Murali Vijay,Jasprit Bumrah,Mumbai Indians,Chennai Super Kings,No,1181764,131,0,3,34,1,2,22,Chennai,Mumbai Indians
4,6.4,1,1,Shane Watson,Murali Vijay,Jasprit Bumrah,Mumbai Indians,Chennai Super Kings,No,1181764,131,0,3,33,1,2,23,Chennai,Mumbai Indians
3,6.3,0,1,Shane Watson,Murali Vijay,Jasprit Bumrah,Mumbai Indians,Chennai Super Kings,No,1181764,131,0,3,33,1,2,23,Chennai,Mumbai Indians
2,6.2,1,1,Shane Watson,Murali Vijay,Jasprit Bumrah,Mumbai Indians,Chennai Super Kings,No,1181764,131,0,3,32,1,2,24,Chennai,Mumbai Indians
1,6.1,1,1,Shane Watson,Murali Vijay,Jasprit Bumrah,Mumbai Indians,Chennai Super Kings,No,1181764,131,0,3,31,1,2,25,Chennai,Mumbai Indians
6,5.6,0,1,Shane Watson,Murali Vijay,Jasprit Bumrah,Mumbai Indians,Chennai Super Kings,No,1181764,131,1,2,32,1,2,25,Chennai,Mumbai Indians
5,5.5,0,1,Shane Watson,Murali Vijay,Jasprit Bumrah,Mumbai Indians,Chennai Super Kings,No,1181764,131,0,2,32,1,2,25,Chennai,Mumbai Indians
