,ball,over,runs,isBoundary,innings,batsman,nonstriker_batsman,bowler,bowling_team,batting_team,matchWicket,run_out,match_id
0,6,3,1,FALSE,1,Faf du Plessis,Shane Watson,Lasith Malinga,Mumbai Indians,Chennai Super Kings,NA,No,1181764
1,5,3,0,FALSE,1,Faf du Plessis,Shane Watson,Lasith Malinga,Mumbai Indians,Chennai Super Kings,NA,No,1181764
2,4,3,0,FALSE,1,Faf du Plessis,Shane Watson,Lasith Malinga,Mumbai Indians,Chennai Super Kings,NA,No,1181764
3,3,3,0,FALSE,1,Faf du Plessis,Shane Watson,Lasith Malinga,Mumbai Indians,Chennai Super Kings,SK Raina c &amp; b J Yadav 5 (7m 7b 1x4 0x6) SR: 71.42,No,1181764
4,2,3,0,FALSE,1,Faf du Plessis,Shane Watson,Lasith Malinga,Mumbai Indians,Chennai Super Kings,NA,No,1181764
5,1,3,4,TRUE,1,Faf du Plessis,Shane Watson,Lasith Malinga,Mumbai Indians,Chennai Super Kings,NA,No,1181764
6,1,3,1,FALSE,1,Faf du Plessis,Shane Watson,Lasith Malinga,Mumbai Indians,Chennai Super Kings,NA,No,1181764
7,6,2,0,FALSE,1,Faf du Plessis,Shane Watson,Lasith Malinga,Mumbai Indians,Chennai Super Kings,NA,No,1181764
8,5,2,0,FALSE,1,Faf du Plessis,Shane Watson,Lasith Malinga,Mumbai Indians,Chennai Super Kings,NA,No,1181764
9,4,2,1,FALSE,1,Faf du Plessis,Shane Watson,Lasith Malinga,Mumbai Indians,Chennai Super Kings,NA,No,1181764
10,3,2,0,FALSE,1,Faf du Plessis,Shane Watson,Lasith Malinga,Mumbai Indians,Chennai Super Kings,NA,No,1181764
11,2,2,0,FALSE,1,Faf du Plessis,Shane Watson,Lasith Malinga,Mumbai Indians,Chennai Super Kings,NA,No,1181764
12,1,2,0,FALSE,1,Faf du Plessis,Shane Watson,Lasith Malinga,Mumbai Indians,Chennai Super Kings,F du Plessis c sub (Anmolpreet Singh) b Chahar 6 (11m 11b 1x4 0x6) SR: 54.54,No,1181764
13,6,1,0,FALSE,1,Faf du Plessis,Shane Watson,Lasith Malinga,Mumbai Indians,Chennai Super Kings,NA,No,1181764
14,5,1,0,FALSE,1,Faf du Plessis,Shane Watson,Lasith Malinga,Mumbai Indians,Chennai Super Kings,NA,No,1181764
15,4,1,1,FALSE,1,Faf du Plessis,Shane Watson,Lasith Malinga,Mumbai Indians,Chennai Super Kings,NA,No,1181764
16,3,1,0,FALSE,1,Faf du Plessis,Shane Watson,Lasith Malinga,Mumbai Indians,Chennai Super Kings,NA,No,1181764
17,2,1,4,TRUE,1,Faf du Plessis,Shane Watson,Lasith Malinga,Mumbai Indians,Chennai Super Kings,NA,No,1181764
18,1,1,0,FALSE,1,Faf du Plessis,Shane Watson,Lasith Malinga,Mumbai Indians,Chennai Super Kings,NA,No,1181764
19,6,0,1,FALSE,1,Faf du Plessis,Shane Watson,Lasith Malinga,Mumbai Indians,Chennai Super Kings,NA,No,1181764
20,5,0,0,FALSE,1,Faf du Plessis,Shane Watson,Lasith Malinga,Mumbai Indians,Chennai Super Kings,NA,No,1181764
21,4,0,0,FALSE,1,Faf du Plessis,Shane Watson,Lasith Malinga,Mumbai Indians,Chennai Super Kings,NA,No,1181764
22,3,0,0,FALSE,1,Faf du Plessis,Shane Watson,Lasith Malinga,Mumbai Indians,Chennai Super Kings,NA,No,1181764
23,2,0,0,FALSE,1,Faf du Plessis,Shane Watson,Lasith Malinga,Mumbai Indians,Chennai Super Kings,NA,No,1181764
24,1,0,0,FALSE,1,Faf du Plessis,Shane Watson,Lasith Malinga,Mumbai Indians,Chennai Super Kings,NA,No,1181764
0,1,8,0,FALSE,1,Shane Watson,Murali Vijay,Jasprit Bumrah,Mumbai Indians,Chennai Super Kings,NA,No,1181764
1,6,7,2,FALSE,1,Shane Watson,Murali Vijay,Jasprit Bumrah,Mumbai Indians,Chennai Super Kings,NA,No,1181764
2,5,7,0,FALSE,1,Shane Watson,Murali Vijay,Jasprit Bumrah,Mumbai Indians,Chennai Super Kings,NA,No,1181764
3,4,7,1,FALSE,1,Shane Watson,Murali Vijay,Jasprit Bumrah,Mumbai Indians,Chennai Super Kings,NA,No,1181764
4,3,7,0,FALSE,1,Shane Watson,Murali Vijay,Jasprit Bumrah,Mumbai Indians,Chennai Super Kings,NA,No,1181764
5,2,7,1,FALSE,1,Shane Watson,Murali Vijay,Jasprit Bumrah,Mumbai Indians,Chennai Super Kings,NA,No,1181764
6,1,7,1,FALSE,1,Shane Watson,Murali Vijay,Jasprit Bumrah,Mumbai Indians,Chennai Super Kings,NA,No,1181764
7,6,6,4,TRUE,1,Shane Watson,Murali Vijay,Jasprit Bumrah,Mumbai Indians,Chennai Super Kings,NA,No,1181764
